Inbetriebnahme;GeoDBID;PLZ;Ort;Strasse;Anlagenschluessel;Anlagentyp;Anlagenuntertyp;Nennleistung(kWp_el);Einspeisespannungsebene;DSO-EIC;DSO;TSO-EIC;TSO;kWh(2013);kWh(average);kWh/kW;EEG-Verguetungsschluessel;Gemeindeschluessel;GPS-Lat;GPS-Lon;GPS-Genauigkeit(dm);Validierung
11.01.2001;19932;25842;Langenhorn;Kiefernweg 2;E20793012000000000000017502640001;Solarstrom;;2,2;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;1.314;1.463,413;665;SoK81a------01;01054075;54,668;8,916;30000;OK
25.07.2001;19932;25842;Langenhorn;Dorfstr. 157;E20793012X00000000000017583460001;Solarstrom;;2;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;1.844;1.739,79;869;SoK81a------01;01054075;54,668;8,916;30000;OK
09.10.2001;19932;25842;Langenhorn;Redlingsweg 20;E20793012000000000000017539200001;Solarstrom;;5,1;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;3.178;3.846,429;754;SoK81a------01;01054075;54,668;8,916;30000;OK
22.11.2001;19932;25842;Langenhorn;Holmweg 75;E20793012000000000000017539220001;Solarstrom;;2,16;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;1.969;1.491,286;690;SoK81a------01;01054075;54,668;8,916;30000;OK
31.12.2002;19932;25842;Langenhorn;Altendeich 9;E20793012000000000000004283000001;Biomasse;Biogas;670;05 (MS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;4.368.378;4.714.637,857;7.036;BiK33b1-MPMJul, BiK33b1-MPMNov, BiK33b1-MPMJun, BiK33b1-MPMFeb, BiK33b1-MPMSep, BiK33b1-MPMMai, BiK33b1-MPMApr, BiK33b1-MPMOkt, BiK33b1-MPMDez, BiK33b1-MPMJan, BiK33b1-MPMAug, BiK33b1-MPMMrz;01054075;54,703;8,944;30000;OK
24.06.2003;19932;25842;Langenhorn;Hohe Koppel 5;E20793012000000000000017539210001;Solarstrom;;15,05;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;11.245;12.120,571;805;SoK81a------03;01054075;54,684;9,021;30000;OK
12.01.2004;19932;25842;Langenhorn;Ant Schütthock 3;E20793012000000000000017586900001;Solarstrom;;1,36;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;951;971,423;714;SoK111------04;01054075;54,668;8,916;30000;OK
15.01.2004;19932;25842;Langenhorn;Dorfstr. 208;E20793012000000000000017520970001;Solarstrom;;13,9;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;;10.504,667;755;SoK111------04;01054075;54,668;8,916;30000;OK
15.03.2004;19932;25842;Langenhorn;Dorfstr. 208;E20793012000000000000017520920001;Solarstrom;;44,2;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;;17.557,5;397;SoK112------04, SoK111------04;01054075;54,668;8,916;30000;?(kWh/kW),
10.06.2004;19932;25842;Langenhorn;K 73 Efkebüll 2;E20793012000000000000017552000001;Solarstrom;;15,5;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;14.120;15.061;971;SoK111------04;01054075;54,668;8,916;30000;OK
26.07.2004;19932;25842;Langenhorn;Beekensweg 7;E2079301S120000000000044680500001;Solarstrom;;29,7;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;;28.948;974;SoK111------04;01054075;54,679;8,908;30000;OK
16.12.2004;19932;25842;Langenhorn;Holmweg 23B;E20793012000000000000017633620001;Solarstrom;;7,5;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;6.166;6.812,286;908;SoK111------04;01054075;54,668;8,916;30000;OK
29.03.2005;19932;25842;Langenhorn;Blinker 1;E20793012000000000000017671650001;Solarstrom;;30;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;32.839;33.635,571;1.121;SoK111------05;01054075;54,668;8,916;30000;OK
14.04.2005;19932;25842;Langenhorn;Hohe Koppel;E20793012000000000000017666570001;Solarstrom;;23,6;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;21.651;22.374,429;948;SoK111------05;01054075;54,668;8,916;30000;OK
16.06.2005;19932;25842;Langenhorn;Kornkoogsweg 11;E20793012000000000000017686530001;Solarstrom;;28;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;28.630;28.542,143;1.019;SoK111------05;01054075;54,668;8,916;30000;OK
29.08.2005;19932;25842;Langenhorn;Beekensweg 7;E20793012000000000000017571000002;Solarstrom;;5,89;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;35.272;9.635,714;1.635;SoK111------05, SoK112------05;01054075;54,703;8,944;30000;?(kWh/kW),
01.09.2005;19932;25842;Langenhorn;Dorfstr. 210;E20793012000000000000017723710001;Solarstrom;;5,46;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;4.942;5.116,143;937;SoK111------05;01054075;54,668;8,916;30000;OK
24.10.2005;19932;25842;Langenhorn;Dorfstr. 45;E20793012000000000000017742960001;Solarstrom;;4,84;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;3.987;4.093;845;SoK111------05;01054075;54,668;8,916;30000;OK
02.11.2005;19932;25842;Langenhorn;Na de Heide 9;E20793012000000000000017781300001;Solarstrom;;30,4;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;31.271;31.804,143;1.046;SoK112------05, SoK111------05;01054075;54,668;8,916;30000;OK
02.11.2005;19932;25842;Langenhorn;Na de Heide 9;E20793012000000000000017781410001;Solarstrom;;30,4;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;30.003;30.585,429;1.006;SoK111------05, SoK112------05;01054075;54,703;8,944;30000;OK
02.11.2005;19932;25842;Langenhorn;Na de Heide 9;E20793012000000000000017781460001;Solarstrom;;30,4;07 (NS);;Schleswig-Holstein Netz AG (E.ON Hanse AG);;TenneT TSO GmbH;30.420;31.291,857;1.029;SoK112------05, SoK111------05;01054075;54,668;8,916;30000;OK
